empresa,nota,avaliacoes
 Walltime ,"3,7", 4
 Morumbi Shopping ,"4,4", 4
 CMR Indústria e Comércio ,"2,2", 4
 Drinkfinity ,"3,3", 4
 Tessler Tieri Advogados ,"1,3", 4
 Instituto Polígono de Ensino ,"4,2", 4
 Alpax Comércio Produtos para Laboratórios ,"3,0", 4
 União Instalações Industriais ,"1,5", 4
 Lumobras ,"4,0", 4
 Crédito y Caución ,"3,3", 4
 Maxpress ,"3,5", 4
 RFR Reciclagem ,"3,0", 4
 TKL Brasil ,"4,0", 4
 3GEN Consultoria Empresarial ,"4,3", 4
 ICBC do Brasil ,"3,5", 4
 São Paulo Urbanismo ,"3,5", 4
 Estil Systems Brasil ,"4,5", 4
 SPX Diagnósticos ,"2,2", 4
 Hospital do Rim e Hipertensão - Fundação Oswaldo Ramos ,"3,7", 4
 Umbrella Corretora ,"4,2", 4
 Social mLabs ,"4,3", 4
 ALSTRA Technologies ,"5,0", 4
 Mirae Asset Wealth Management CCTVM ,"3,4", 4
 Nexa Digital ,"5,0", 4
 Alper Seguros ,"2,5", 4
 BWG ,"4,5", 4
 Sossego ,"1,2", 4
 Mesa Empresarial ,"4,0", 4
 Divibras Distribuidora ,"2,5", 4
 PHB Eletrônica ,"3,7", 4
 Cerdeira Rocha e Advogados ,"4,3", 4
 Veralana ,"5,0", 4
 Instituto Social Saúde Resgate à Vida (ISSRV) ,"3,5", 4
 Pineapple Hub ,"3,5", 4
 Anbioton ,"3,3", 4
 Hero Brasil ,"3,8", 4
 Colégio Nossa Senhora da Misericórdia ,"2,5", 4
 EEL Ventures ,"4,7", 4
 Justto ,"4,3", 4
 Magnaghi Friuli Aerospace ,"2,6", 4
 Prefeitura de São Luís ,"5,0", 4
 Fundação Antonio Prudente ,"4,5", 4
 Hospital das Acácias ,"2,3", 4
 Melhoramentos Florestal ,"3,3", 4
 Drogão Popular ,"3,0", 4
 Mei Fácil ,"3,8", 4
 Prospect Brasil ,"1,7", 4
 Juristec+ ,"4,3", 4
 Agência MOP ,"2,3", 4
 Construtora Patriani ,"3,8", 4
 Kelvion ,"3,5", 4
 TSC Serviços ,"2,7", 4
 Daniele Banco ,"3,8", 4
 Escola Politécnica da Universidade de São Paulo ,"4,5", 4
 Qualy Service ,"3,5", 4
 Instituto Brasileiro de Qualificação e Certificação (IQB) ,"3,7", 4
 David e Aniceto Advogados Associados ,"3,6", 4
 Top Service Incentive Travel ,"3,5", 4
 Grupo TorreSur ,"4,8", 4
 Drastosa Indústrias Têxteis ,"3,7", 4
 Startanima ,"3,7", 4
 Instituto Adventista de Tecnologia ,"3,0", 4
 Axoon ,"2,8", 4
 Effinity ,"3,7", 4
 Integration School ,"4,1", 4
 VM Comunicação ,"2,5", 4
 FGX Brasil ,"3,3", 4
 Fiorentini Arquitetura ,"3,6", 4
 Instrumenti do Brasil ,"3,6", 4
 ProcessMind ,"4,8", 4
 Brasilwagen ,"3,0", 4
 Curriculum ,"4,2", 4
 Vocalize ,"2,5", 4
 Analytical Technology ,"2,8", 4
 Strategy Manager ,"3,9", 4
 Establish Brazil ,"3,3", 4
 Museu Afro Brasil ,"3,5", 4
 GeoCompany ,"4,8", 4
 Alfa Instrumentos ,"2,8", 4
 Joalheria Dryzun ,"4,0", 4
 Nagumo Supermercado ,"3,9", 47
 Ordem dos Advogados do Brasil São Paulo (OAB/SP) ,"3,5", 39
 anovis ,"2,7", 33
 Banco CBSS ,"3,9", 31
 Kanamaru Advogados ,"3,0", 18
 SIRVA ,"3,3", 220
 Quod (Brazil) ,"4,9", 15
 Valspar ,"3,2", 428
 Marles ,"2,0", 11
 Movida ,"3,5", 23
 Access ,"3,5", 125
 Degraus Loxam ,"3,4", 10
 Granero Transportes ,"3,0", 9
 ED&F Man ,"3,5", 84
 Valmari Dermocosméticos ,"3,3", 10
 Avora Cosméticos ,"4,4", 9
 Rich's do Brasil ,"3,4", 9
 Expernet Telematica ,"3,7", 8
 Colégio Cruz Azul ,"4,1", 6
 Etihad Airways ,"3,4", 402
 Ourofino Saúde Animal ,"4,0", 82
 ACS A Xerox Company ,"3,6", 8
 Fareva Produtos Cosméticos de Higiene e Limpeza ,"3,5", 7
 MegaG Alimentos ,"3,7", 6
 MBigucci ,"2,9", 6
 Centro Educacional Fundação Salvador Arena (CEFSA) ,"4,1", 6
 Nèscara ,"3,4", 6
 Symnetics ,"3,0", 5
 Ceratti ,"4,2", 5
 ITG ,"3,6", 256
 Safilo ,"2,4", 117
 SAS Plataforma de Educação ,"3,3", 77
 Superior Tribunal de Justiça (STJ) ,"4,5", 72
 Consinco ,"3,4", 62
 Central Bureau for Collection and Distribution ,"4,0", 45
 Infobase IT ,"3,4", 40
 Prettl Group ,"3,4", 24
 Hands On Solutions ,"2,7", 10
 Daudt Logística ,"3,7", 10
 GPS Pamcary ,"3,5", 10
 Cobra Rolamentos e Auto Peças ,"3,3", 9
 Grupo Impacto ,"3,8", 8
 Netquest ,"3,7", 7
 Grupo De Nigris ,"3,5", 7
 Litucera ,"3,2", 7
 Virtual Office ,"2,7", 7
 Sabesprev ,"3,8", 7
 colégio opção ,"3,5", 6
 Viação Bertioga ,"3,6", 6
 Pailon Comunicação Visual ,"3,5", 6
 Up Live Marketing ,"2,9", 6
 Inovathi ,"3,3", 6
 Acotecnica ,"4,0", 5
 JCN Sistemas ,"3,7", 5
 NBG Alimentação e Serviços ,"3,5", 5
 Strong Security ,"3,1", 5
 Prolink Telecom ,"2,7", 5
 Prisma Promotora ,"3,5", 5
 Rede de Reabilitação Lucy Montoro ,"3,4", 5
 Bid Lab ,"4,7", 4
 Câmara Municipal de São Bernardo do Campo ,"4,0", 4
 Construvip ,"3,3", 4
 Dutra Máquinas ,"4,2", 4
 Grupo Mtc ,"3,0", 4
 Açovisa ,"1,8", 4
 Candide ,"2,6", 4
 Spezzato ,"4,2", 4
 New Italian Fast Food ,"2,3", 4
 Auto Geral ,"3,5", 4
 Target ,"3,4", 34k
 Marriott International ,"3,8"," 7,2k"
 NetApp ,"3,8"," 3,1k"
 United Airlines ,"4,0"," 3,0k"
 Vanguard ,"3,1"," 2,4k"
 UST Global ,"4,0"," 2,4k"
 Quest Diagnostics ,"3,3"," 2,3k"
 Starwood Hotels & Resorts ,"3,9"," 2,1k"
 Toyota North America ,"3,7"," 1,9k"
 Sky ,"3,5"," 1,8k"
 Teradata ,"3,5"," 1,5k"
 Daimler ,"4,2"," 1,4k"
 TIBCO Software ,"3,5"," 1,1k"
" Discovery, Inc. ","3,4"," 1,1k"
 Equifax ,"2,8"," 1,1k"
 BBC ,"3,9"," 1,0k"
 Airbnb ,"3,7", 932
 Duke Energy ,"3,5", 894
 Frost & Sullivan ,"2,9", 822
 Swarovski ,"3,4", 736
 NICE ,"3,7", 736
 Air Canada ,"3,5", 720
 PUMA ,"4,3", 680
 Tory Burch ,"3,1", 615
 Nortel Networks ,"3,5", 605
 Chanel ,"3,8", 578
 ZTE ,"3,4", 573
 GM Financial ,"3,2", 531
 Day Translations ,"4,6", 524
 AXA XL ,"3,7", 518
 Crossover for Work ,"3,6", 499
 Zendesk ,"4,2", 488
 Baidu ,"4,2", 459
 StubHub ,"3,2", 445
 Paramount Pictures ,"3,6", 439
 CSG ,"3,7", 438
 Pall ,"3,2", 435
 ALS ,"2,9", 434
 Valvoline ,"3,3", 427
 Progress ,"3,5", 425
 New Balance ,"3,6", 409
 AES Corporation ,"3,9", 402
 TBWA Worldwide ,"3,5", 373
 Geometry Global ,"3,2", 369
 FLSmidth ,"3,7", 357
 TMP Worldwide ,"3,8", 357
 FOX Sports ,"3,7", 346
 Brown-Forman ,"4,3", 333
 Quiksilver ,"3,7", 321
 Hermès ,"4,1", 315
 Kyocera ,"3,2", 314
 Valtech ,"3,9", 309
 Embraco North America ,"3,7", 307
 Ramboll ,"3,6", 294
 Alstom Transportation ,"3,5", 270
 Serede ,"3,6", 263
 Tecnotree ,"3,5", 259
 Honeywell Process Solutions ,"3,7", 251
 Springer Nature ,"3,3", 251
 Octagon ,"3,7", 250
 Dematic ,"3,6", 234
 Golin ,"3,7", 232
 Cultural Care Au Pair ,"4,1", 229
 Servier ,"3,8", 228
 Daikin ,"3,5", 222
 Beiersdorf ,"4,0", 208
 Rich Products ,"3,2", 206
 Momentum Worldwide ,"3,3", 206
 DocPlanner ,"4,4", 204
 Samarco ,"4,3", 198
 Fonterra ,"3,8", 186
 Hanjin Shipping ,"3,1", 175
 Return Path ,"4,2", 173
 DSV Air & Sea ,"3,2", 168
 Udemy ,"4,5", 167
 Stratasys ,"3,3", 165
 GXS ,"2,9", 162
 Fogo de Chão Churrascaria ,"3,3", 157
 Momentive Performance Materials ,"3,7", 154
 Kenshoo ,"4,0", 154
 KaVo Kerr ,"2,9", 151
 Radix Engenharia e Software ,"3,8", 150
 Aeria Games ,"2,2", 149
 Deezer ,"4,0", 136
 Lojas Colombo ,"3,4", 134
 Openet ,"2,9", 132
 Comarch ,"3,2", 131
 Freudenberg Sealing Technologies ,"3,4", 130
 Franklin Covey ,"3,4", 126
 Coface ,"3,0", 124
 SPX Flow ,"3,2", 119
 Proudfoot ,"3,3", 116
 SUSE ,"4,1", 116
 Banco Inter ,"3,9", 112
 Le Creuset ,"4,1", 109
 Ripple ,"4,7", 109
 Sapa Group ,"2,9", 108
 Hospital Pequeno Príncipe ,"4,1", 106
 Tereos ,"3,5", 106
 Swiss International Air Lines ,"3,9", 106
 Kloeckner Metals ,"3,6", 103
 Inatel Competence Center ,"3,9", 102
 Frimesa ,"3,9", 100
 Triumph ,"3,1", 99
 Paquetá ,"3,3", 98
 We Are Social ,"3,9", 97
 Cassol Centerlar ,"3,2", 95
 Porsche Cars North America ,"3,6", 92
 Queiroz Galvão Óleo e Gás ,"3,6", 91
 Quadient ,"3,7", 89
 Orthofix ,"2,8", 88
 Governo do Estado de Minas Gerais ,"3,8", 88
 PUCPR ,"3,8", 86
 Alliance Laundry ,"3,0", 86
 Grupo Dimed ,"3,5", 83
 Grupo Services ,"3,3", 81
 Kingston Technology ,"4,0", 79
 IMI ,"3,1", 77
 Vigor ,"3,7", 77
 Red Fuse ,"3,6", 74
 ProV International ,"3,4", 74
 ABS Group ,"3,8", 74
 Nufarm ,"3,6", 73
 Kantar Health ,"2,9", 73
 Beach Park Hotéis e Turismo ,"4,2", 73
 Di Santinni ,"3,4", 72
 Take ,"4,3", 72
 MedGrupo ,"3,1", 71
 DeMillus ,"2,9", 71
 JATO Dynamics ,"3,8", 67
 Crane Worldwide Logistics ,"3,3", 66
 ICL Group ,"3,5", 65
 Paraná Banco ,"4,3", 64
 Grupo Barigui ,"3,6", 64
 Mammoet ,"3,0", 63
 S2 IT ,"3,7", 63
 CooperVision ,"3,2", 63
 Iberdrola ,"4,0", 62
 Grob-Werke Gmbh & Co. Kg ,"2,2", 61
 Kerry Logistics ,"3,0", 60
 Bobst ,"3,5", 60
 Banco BBM ,"3,4", 59
 Construtora Triunfo ,"3,9", 59
 São Martinho ,"4,4", 59
 Marubeni ,"3,6", 58
 Helpling ,"4,4", 58
 Brisa Technologies ,"4,0", 57
 TLC Marketing ,"3,1", 57
 NORMA Group ,"3,0", 56
 Omnilife ,"4,1", 56
 Wine.com.br ,"3,0", 56
 Ministério Público do Estado de Minas Gerais ,"4,4", 56
 Somfy ,"3,7", 56
 Ramos e Silva Correspondente Bancário ,"3,3", 55
 Dínamo Engenharia ,"3,5", 53
 Kley Hertz ,"3,3", 51
 Daf Caminhões ,"3,0", 50
 Indústrias Nucleares do Brasil ,"3,9", 50
 Omya ,"4,0", 50
 PERI ,"3,7", 49
 Robertshaw ,"3,4", 49
 Grupo A ,"3,7", 48
 Sisley ,"3,5", 47
 Canção Nova ,"3,5", 47
 Tribunal Regional Federal da 1° Região ,"4,4", 47
 São Marcos Laboratório ,"3,2", 46
 Spa das Sobrancelhas ,"3,2", 46
 Ebaotech ,"3,6", 46
 Tribunal de Justiça de Pernambuco ,"3,5", 45
 Citelum ,"3,7", 45
 Duracell ,"3,2", 43
 Nike Factory Store ,"3,9", 43
 Guarani ,"3,3", 42
 Praxis ,"3,5", 42
 Sarstedt ,"2,7", 41
 BS2 ,"4,2", 41
 WDEV Consultoria ,"3,7", 40
 Grupo EBD ,"3,9", 40
 Pantos ,"2,5", 39
 Securities and Exchange Commission of Brazil ,"3,9", 39
 Grupo Águia Branca ,"3,8", 39
 ITOCHU ,"2,9", 37
 ConVista Consulting ,"3,8", 37
 Creata Promotion ,"3,1", 37
 Ironhack ,"4,6", 36
 Forbo ,"3,7", 35
 Adecoagro ,"3,9", 35
 Ativa Investimentos ,"4,0", 34
 GVT ,"3,6", 34
 Cotecna Inspection ,"3,6", 33
 Naspers ,"4,0", 33
 Czarnikow ,"4,4", 33
 Park Idiomas ,"4,0", 33
 eXtra ,"3,5", 33
 Tracbel Participações ,"3,1", 33
 Tyson do Brasil ,"3,2", 32
 Seculus ,"4,1", 32
 Multivac ,"3,6", 31
 Add Technologies ,"2,6", 31
 Digicon (Brazil) ,"3,2", 31
 Project A ,"4,9", 31
 Décio Freire & Associados Advogados ,"2,8", 31
 Cimento Nassau ,"2,8", 31
 Grupo Tendência ,"4,0", 31
 Morena Rosa Group ,"3,2", 30
 Natulab Group ,"3,8", 30
 Maple Bear English ,"3,0", 30
 GFT ,"3,4", 30
 Hildebrando Services ,"3,3", 30
 Melitta Group ,"2,9", 30
 Portocred ,"3,7", 29
 Basílio Advogados ,"3,9", 29
 EBM (Brazil) ,"3,9", 29
 Terral Incorporadora ,"3,8", 29
 Educação Adventista ,"3,2", 29
 Borrachas Vipal ,"3,7", 29
 Ministério da Educação (MEC) ,"4,1", 28
 Reflex & Allen ,"2,0", 28
 EagleBurgmann ,"3,9", 27
 Trinseo ,"3,3", 27
 Gravity4 ,"3,0", 27
 Pereira & O'Dell ,"3,4", 27
 Agência Escala ,"2,9", 27
 Mazzini ,"3,3", 27
 Elfe Oleo & Gas Operacao ,"3,3", 26
 Prefeitura Municipal de Rio Branco do Sul ,"3,5", 26
 Afilio ,"3,6", 26
 BeviCred ,"3,7", 25
 B2BR Business to Business Integration Brasil ,"3,3", 25
 Grupo GSH ,"3,2", 25
 Bbtur Viagens e Turismo ,"4,0", 24
 Sercomtel ,"3,6", 24
 CCR Nova Dutra ,"3,9", 24
 Manetoni ,"3,4", 24
 Destro MacroAtacado ,"3,0", 24
 Skechers ,"3,4", 24
 UniFocus ,"4,1", 24
 Ipiranga ,"3,9", 23
 Mahle ,"4,0", 22
 Kreston ,"3,6", 22
 Lupatech OFS ,"3,3", 22
 Archroma ,"3,1", 22
 British and American ,"2,5", 22
 ARVOS Group ,"3,8", 22
 Onity ,"2,8", 22
 ASYST Technologies ,"3,1", 21
 Lifemed Industrial de Equipamentos Médico-Hospitalares SA ,"3,3", 21
 Master Serviços ,"3,7", 21
 Hospital Santo Antônio ,"3,5", 21
 Lett ,"4,3", 21
 United Cinemas International (UCI Cinemas) ,"3,4", 21
 Grupo Voetur ,"2,6", 21
 Nipponflex ,"4,1", 21
 Centro Universitário Autônomo do Brasil (UniBrasil) ,"3,3", 21
 Actminds ,"4,8", 20
 Real Moto Peças ,"3,8", 20
 Ramos & Silva Soluções Financeiras ,"3,0", 20
 Sprink Soluções em Prevenção de Risco ,"3,5", 20
 TW Transportes ,"3,2", 20
 VEGA Brasil ,"3,7", 20
 Grupo JCA ,"3,6", 20
 TMD Friction ,"3,4", 20
 Paradigma ,"3,2", 20
 HellermannTyton ,"3,9", 20
 Ducoco ,"3,7", 20
 EMS ,"3,5", 20
 Mitsui & Co. ,"3,1", 20
 ebm-papst ,"3,7", 19
 Passaredo Linhas Aéreas ,"3,3", 19
 Safra ,"3,3", 19
 Telsan ,"3,6", 19
 Canopus ,"3,8", 19
 Ocrim S A Produtos Alimenticios ,"3,7", 19
 Ateen ,"2,9", 19
 Mark Building ,"3,4", 18
 Bristol Hotéis & Resorts ,"2,9", 18
 Centro Integrado de Estudos e Programas de Desenvolvimento Sustentável (CIEDS) ,"3,8", 18
 Sitran-MG ,"3,4", 18
 Colégio Santo Agostinho ,"4,0", 18
 LM Frotas ,"4,0", 18
 EMPA Brasil ,"3,2", 18
 Atlas Schindler ,"3,6", 18
 Adare Group ,"2,4", 18
 De Heus ,"4,2", 17
 Martinelli Advogados ,"3,8", 17
 Grupo Avantia ,"3,4", 17
 Rede Vivo ,"4,1", 17
 Agência Nacional de Transportes Terrestres (ANTT) ,"4,0", 17
 Lider Interiores ,"3,7", 17
 Mr. Cat (Franquias) ,"3,0", 17
 Drogão Super ,"3,4", 17
 Cargolift ,"4,0", 17
 Total ,"4,1", 16
 UNIPAC ,"4,2", 16
 Assembleia de Deus ,"3,6", 16
 Estrutural Serviços Industriais ,"4,1", 16
 Três Corações ,"3,7", 16
 Grupo SEB ,"3,9", 16
 OVD Importadora e Distribuidor ,"3,8", 16
 DClick ,"4,4", 16
 Mahr ,"2,7", 16
 Rousselot ,"3,7", 16
 Sara Lee Foodservice ,"2,8", 16
 Seiren Group ,"2,5", 16
 Esaote ,"3,7", 16
 Flextronics ,"3,5", 15
 Work & Co ,"3,9", 15
 Mimaki ,"3,5", 15
 JSL ,"4,1", 15
 Help! Loja de Crédito ,"3,9", 15
 Rede Âncora ,"2,5", 15
 Banco Finaxis ,"2,5", 15
 Microservice ,"3,9", 15
 Rede Cidadã ,"3,8", 15
 MM GERDAU ,"3,1", 15
 RN Comércio Varejista ,"3,3", 15
 Bridon-Bekaert ,"3,3", 15
 Vieira Rezende ,"3,6", 14
 Sanremo ,"4,1", 14
 Grupo Facility ,"3,7", 14
 Macromaq Equipamentos ,"3,8", 14
 Companhia Industrial Cataguases ,"3,2", 14
 Fórmula Academia ,"3,7", 14
 Milclean ,"3,7", 14
 Unesp ,"4,0", 14
 Previdência Social ,"3,7", 14
 MAV Data Security ,"3,2", 14
 Nyx Los Angeles ,"3,7", 14
 Cebi ,"3,0", 13
 Dieese ,"3,6", 13
 Nouryon ,"3,6", 13
 FM2C ,"3,2", 13
 Hennings ,"3,5", 13
 Moviecom Cinemas ,"3,1", 13
 Nossa RH - Gestão de Pessoas e Serviços ,"3,6", 13
 Grupo Lachmann ,"2,7", 13
 Poli-Nutri Alimentos ,"3,4", 13
 Teledata ,"2,7", 13
 Pactum Consultoria Empresarial ,"3,4", 13
 Casa Granado Laboratorios ,"3,5", 13
 DPA Brasil ,"4,1", 13
 Cruzeiro do Sul Educacional ,"3,2", 13
 NTL Nova Tecnologia ,"3,2", 13
 Eli Lilly ,"3,7", 13
 Fiscaltech ,"3,6", 13
 Móveis ,"2,9", 13
 IMM Esporte e Entretenimento ,"3,5", 12
 Via Engenharia ,"3,6", 12
 DBMaster ,"3,6", 12
 Santa Terezinha ,"3,6", 12
 Usina JBS ,"4,1", 12
 Metatron (Brazil) ,"3,0", 12
 São Camilo ,"3,6", 12
 RCA ,"3,5", 12
 Instituto Nacional de Educação Profissional (Grupo INEP) ,"3,8", 12
 Centro de Emagrecimento e Estética Emagrecentro ,"3,1", 12
 Card Express ,"3,4", 12
 Tecnometal ,"4,4", 12
 Huawei Gestão de Serviços (HGS) ,"3,9", 12
 PATRI Políticas Públicas ,"3,4", 12
 Policard ,"3,1", 12
 BOGE Rubber & Plastics ,"2,4", 12
 Zion Tech Group ,"3,8", 12
 Istituto Europeo di Design ,"3,2", 11
 Triple S ,"2,9", 11
 CID ,"3,8", 11
 Stayfilm ,"3,9", 11
 Acer ,"3,4", 11
 Ramada Hotel ,"3,4", 11
 Iguá Saneamento ,"3,1", 11
 CEDRO Brasil ,"3,4", 11
 Clarios ,"3,5", 11
" ""Galdino, Coelho, Mendes Advogados (GCM)"" ","3,5", 11
 Instituto Metodista Izabela Hendrix ,"3,3", 11
 Ttrans ,"3,6", 11
 CEAI ,"3,9", 11
 Mauser Embalagens Industriais ,"3,3", 11
 MAC Engenharia ,"3,1", 11
 Universidade Anhanguera Uniderp ,"3,7", 11
 N2 Distribuição Integrada ,"2,5", 11
 Ambulatório Médico de Especialidades (AME) ,"3,3", 11
 Redeorto ,"3,2", 11
 Task Sistemas de Computação ,"2,5", 11
 Transportes Ouro Negro ,"3,5", 11
 Special Dog - Pet Shop ,"4,6", 11
 Penalty ,"3,4", 11
 Ferreira e Ferreira Advogados ,"3,4", 11
 Kunumi ,"3,9", 11
 Hospital Metropolitano ,"3,0", 11
 Elfe Operação e Manutenção ,"3,3", 10
 Elinox ,"3,8", 10
 Locomotiva ,"3,7", 10
 NSCAD Microeletrônica ,"4,1", 10
 Grupo Flamboyant ,"3,5", 10
 ABC71 ,"3,8", 10
 SuperFrio ,"3,3", 10
 Fuel Eywear ,"2,3", 10
 Scala ,"3,6", 10
 Franquia Bontempo ,"3,4", 10
 Mercadão dos Óculos ,"3,5", 10
 Secretaria da Receita Federal do Brasil ,"4,2", 10
 Protec Brasil ,"3,4", 10
 AirON ,"4,2", 10
 ArcelorMittal Gonvarri Brasil ,"4,2", 10
 Petroeng ,"3,9", 10
 British Schools Foundation ,"3,5", 10
 Besins Healthcare ,"2,6", 10
 Adriana Degreas ,"2,3", 10
 deugro ,"3,9", 10
 SPOLETO ,"3,4", 9
 Prime Interway ,"3,5", 9
 World Study ,"3,9", 9
 Carrier Midea ,"3,2", 9
 Ziva Tecnologia e Soluções ,"4,2", 9
 Condomínio Shopping Center Iguatemi ,"3,8", 9
 Simoldes Plásticos ,"2,6", 9
 LongPing High-Tech ,"3,2", 9
 Comef Soluções Financeiras Eficientes ,"3,8", 9
 Colégio Nossa Senhora do Rosário ,"2,9", 9
 Clinica Odontológica Sorrisus ,"3,5", 9
 Distribuidora Santa Rosa Nestlé ,"4,2", 9
 GD9 Assessoria em RH ,"3,7", 9
 Colégio Evolução ,"3,4", 9
 MoRHena ,"3,7", 9
 Carmim ,"3,5", 9
 Tortoro Madureira & Ragazzi ,"3,8", 9
 Martelinho de Ouro ,"4,1", 9
 Colégio São José ,"3,8", 9
 Rosa Chá ,"3,6", 9
 Ensel Engenharia ,"2,2", 9
 Transjoi Transportes ,"4,2", 9
 Delegacia da Receita Federal do Brasil ,"3,9", 9
 SEO Master ,"3,6", 9
 Coração Mineiro ,"2,7", 9
 WOW! Nutrition ,"3,5", 8
 Randstad Brasil Recursos Humanos ,"3,9", 8
 Stilingue ,"4,3", 8
 Hospital São José Criciúma ,"2,8", 8
 Impar Serviços Hospitalares ,"3,8", 8
 Xerox Business Services ,"3,6", 8
 Tauá Resorts ,"2,9", 8
 CIL Comércio de Informática ,"3,7", 8
 HiperStream ,"3,5", 8
 TeleCheque ,"3,6", 8
 Provider Cosméticos ,"3,0", 8
 Tabelionato de Notas ,"3,0", 8
 Lobo e Ibeas Advogados ,"3,3", 8
 Vero RH ,"4,1", 8
 Santa Casa de Misericórdia de Santo Amaro ,"2,9", 8
 Grupo Sudeste ,"3,7", 8
 Sanoh do Brasil ,"3,2", 8
 Promac ,"3,2", 8
 ERB Energias Renováveis do Brasil ,"4,0", 8
 Descarpack ,"2,7", 8
 Shark Máquinas ,"2,8", 8
 PD7 Technology ,"2,9", 8
 Continental Automotive Brasil ,"3,9", 8
 Dias de Souza Advogados Associados ,"3,4", 8
 Hospital Pio XII ,"3,3", 8
 Gravurart ,"3,8", 8
 Moinho Anaconda ,"3,8", 8
 Outlet Lingerie ,"3,3", 8
 Advanced Iteam ,"3,4", 8
 Frigorífico Xinguara ,"2,5", 8
 Sony Mobile ,"4,0", 8
 Farol Filmes ,"3,6", 8
 Brazul ,"3,0", 8
 Tramontina ,"3,5", 8
 TradeUp Group ,"2,9", 8
 Ezentis ,"3,1", 8
 Ctrl+Play ,"3,6", 8
 ASID Brasil ,"4,4", 8
 Eureca ,"4,8", 8
 Rosi Rajão Advogados ,"3,2", 8
 Poliedro Educação ,"3,6", 8
 Grupo Jari ,"3,0", 8
 Argo Internet ,"4,2", 7
 Portal Telemedicina ,"3,7", 7
 Construtora São José ,"4,1", 7
 SAMU ,"4,5", 7
 Madepar Laminados ,"4,8", 7
 Xerpa ,"4,7", 7
 FTE automotive ,"3,7", 7
 Rhenus Logistics ,"2,7", 7
 I-Gás ,"3,3", 7
 RNX FIDC ,"2,6", 7
 Nexaas ,"2,9", 7
 Secretaria Municipal de Educação do Rio de Janeiro ,"3,2", 7
 Redecard ,"3,3", 7
 Atlas Governance ,"5,0", 7
 Vedax ,"3,2", 7
 Inforshop ,"3,1", 7
 Empório body store ,"3,6", 7
 Atacado Vila Nova ,"4,0", 7
 CETEC (Brazil) ,"4,6", 7
 Enova Foods ,"3,8", 7
 123i ,"3,9", 7
 Ormec Engenharia ,"3,5", 7
 Cia Marítima ,"3,6", 7
 Ministério do Trabalho e Emprego ,"3,6", 7
 AVIT GESTÃO ,"3,2", 7
 LBR Lácteos Brasil ,"3,0", 7
 Supera RX Medicamentos ,"4,3", 7
 Fast&food ,"3,1", 7
 Navega Advogados Associados ,"3,1", 7
 Empresa Brasileira de Engenharia e Comércio (EBEC) ,"3,9", 7
 Dimaci Material Cirurgico ,"3,2", 7
 ArFrio ,"2,8", 7
 Pacific (Brazil) ,"3,2", 7
 Ibratin Tintas e Texturas ,"3,6", 7
 Potencial Serviços em Telefonia ,"2,1", 7
 Litorânea Transportes Coletivos ,"3,7", 7
 Personalitté ,"3,5", 7
 Hub Talent Connexions ,"5,0", 7
 Prolux Engenharia de Sistemas ,"2,9", 7
 A2You ,"3,9", 7
 Bom Sabor ,"3,8", 7
 Theoto ,"2,7", 7
 Premier Cosméticos ,"2,8", 7
 Downtown ,"3,7", 7
 Companhia Docas de São Sebastião ,"3,6", 7
 S&P Global ,"3,8", 7
 Banco Honda ,"3,2", 7
 Essence Terceirização ,"3,1", 7
 ABC Technology ,"4,2", 7
 Acerta ,"3,7", 7
 SPL Engenharia ,"3,4", 7
 Vitória Hospitalar ,"3,3", 7
 Icon Aviation ,"3,1", 7
 Grupo Gelog ,"2,5", 7
 Chama The App ,"4,5", 6
 Corrientes 348 Argentinian Steakhouse ,"3,8", 6
 Grupo LC ,"3,3", 6
 Nonius ,"3,8", 6
 Clinica Infantil Santa Isabella ,"3,6", 6
 LTSA Advogados ,"2,9", 6
 A Tonanni ,"4,2", 6
 Corttex ,"3,5", 6
 Multimagem ,"3,2", 6
 Box1824 ,"4,1", 6
 Themag Engenharia ,"3,8", 6
 Dolce&Gabbana ,"2,8", 6
 Colégio Pio XII ,"3,7", 6
 Fusion Telecomunicações ,"3,1", 6
 Derraik e Menezes Advogados ,"3,5", 6
 Hemocentro São Lucas ,"1,8", 6
 Rpoint Renault ,"3,4", 6
 Poliservice ,"3,6", 6
 Escritório de Advocacia Sergio Bermudes ,"4,5", 6
 Morada Transportes ,"3,8", 6
 SKL Assessoria Contábil ,"2,1", 6
 Hospital Assunção ,"4,0", 6
 Silveiro Advogados ,"4,4", 6
 Soluções Serviços Terceirizados ,"2,8", 6
 CampSeg ,"2,4", 6
 Interfile ,"3,2", 6
 Instituto Brasileiro de Aprendizagem - SABER ,"4,0", 6
 Clean Mall Serviços ,"2,5", 6
 Savino Del Bene ,"2,2", 6
 Sawluz ,"2,5", 6
 Leal Indústria & Comércio ,"2,8", 6
 Brasilmaxi ,"3,1", 6
 ASN Brasil ,"3,2", 6
 TV Vanguarda ,"3,7", 6
 Metax ,"3,7", 6
 Multicorpos Engenharia ,"4,3", 6
 Lemasa ,"3,3", 6
 Prefeitura Municipal de Capivari ,"3,1", 6
 Colégio Cristo Rei ,"3,7", 6
 Log Commercial Properties ,"2,1", 6
 Nacional Logística ,"3,7", 6
 Empresa de Transportes Martins ,"4,0", 6
 RGM ,"3,9", 6
 Comporte Participações ,"3,8", 6
 Black & Decker ,"2,7", 6
 Techline ,"3,5", 6
 See-Saw Panamby ,"3,8", 6
