empresa,nota,avaliacoes
 Boston Consulting Group ,"4,1"," 2,5k"
 Rockwell Automation ,"3,9"," 1,4k"
 Babcock International Group ,"3,2", 514
 Isobar ,"3,6", 480
 Mediterranean Shipping Company ,"3,5", 478
 Owens-Illinois ,"3,6", 406
 Zup (Brazil) ,"3,9", 243
 Ministério Público Federal ,"4,4", 238
 GlobalWeb ,"3,2", 158
 Jequiti Cosméticos ,"4,0", 146
 Valdac Global Brands ,"3,5", 99
 Grupo ZAP ,"4,1", 92
 Demarest Advogados ,"4,1", 89
 Apsen Farmacêutica ,"3,8", 89
 Bifarma Drogarias ,"3,3", 81
 Dicico ,"3,3", 79
 Sapient AG2 ,"3,1", 78
 Grupo RAI ,"3,1", 73
 Cruzeiro do Sul University ,"3,5", 70
 TTEC ,"3,5"," 3,5k"
 Chubb ,"3,4"," 1,3k"
 J. Walter Thompson Worldwide ,"3,2", 725
 ISS ,"3,2", 698
 AGCO ,"3,8", 569
 Falcão Bauer ,"3,3", 101
 AMARO ,"4,2", 83
 Athié Wohnrath ,"3,8", 79
 MercadoCar ,"3,6", 77
 Fundação Padre Anchieta (TV Cultura) ,"3,8", 69
 HDI Seguros ,"3,8", 114
 Cisco Systems ,"4,1", 18k
 NeoGrid ,"3,6", 217
 Allis ,"3,3", 128
 Pinheiro Neto Advogados ,"4,3", 92
 Neon Pagamentos ,"4,1", 77
 Sorocaba Refrescos ,"3,8", 74
 Infosys ,"3,7", 37k
 União Química ,"3,7", 162
 Luft Logistics ,"3,7", 100
 MWM International ,"4,0", 97
 Zap Imóveis ,"3,9", 91
 ConnectCom ,"3,4", 89
 Acesso Digital ,"4,2", 77
 Hospital Cruz Azul ,"3,6", 76
 Grupo LTM ,"3,9", 71
 Prefeitura Municipal de Santos ,"3,5", 70
 Almeida Santos Advogados ,"3,0", 68
 Korn Ferry ,"3,2"," 1,2k"
 GfK ,"3,2", 892
 L'Occitane ,"3,5", 746
 MRS Logistica ,"4,1", 390
 WMcCann ,"3,8", 89
 Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo ,"3,7", 89
 Cebrace ,"3,9", 81
 Cultura Inglesa (Brazil) ,"3,8", 75
 Admix ,"3,8", 66
